riddle_id	riddle_title	riddle_question	riddle_answer
riddle-2345	Take It Or Leave It	The more you take, the more you leave behind. What am I?	Footsteps.
riddle-2316	One Hard Riddle	What 8 letter word can have a letter taken away and it still makes a word. Take another letter away and it still makes a word. Keep on doing that until you have one letter left. What is the word?	The word is starting! starting, staring, string, sting, sing, sin, in, I.Â  Cool,huh?
riddle-504	Head And Tail	What has a head, a tail, is brown, and has no legs?	A Penny.
riddle-202	David's Father	David's father has three sons: Snap, Crackle, and _____?	David.
riddle-9	Three Consecutive Days 	Can you name three consecutive days without using the words Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, or Sunday?	Yesterday, Today, and Tomorrow.
riddle-355	In Love	A doctor and a bus driver are both in love with the same woman, an attractive girl named Sarah. The bus driver had to go on a long bus trip that would last a week. Before he left, he gave Sarah seven apples. Why?	An apple a day keeps the doctor away!
riddle-1571	Ghosts Don't Like This	What room do ghosts avoid?	The living room.
riddle-1938	First And Last	What belongs to you, but other people use it more than you?	Your name.
riddle-147	What Color?	You live in a one story house made entirely of redwood. What color would the stairs be?	What stairs? You live in a one-story house.
riddle-5	Carnival Trick	"A boy was at a carnival and went to a booth where a man said to the boy, ""If I write your exact weight on this piece of paper then you have to give me $50, but if I cannot, I will pay you $50."" The boy looked around and saw no scale so he agrees, thinking no matter what the carny writes he'll just say he weighs more or less. In the end the boy ended up paying the man $50. How did the man win the bet?"	"The man did exactly as he said he would and wrote ""your exact weight"" on the paper."
riddle-18	Put Me Out	I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?	Fire.
riddle-2910	Very Confusing	What comes once in a minute, twice in a moment, but never in a thousand years?	"The letter ""m""."
riddle-377	The Mustard Family	Mr. and Mrs. Mustard have six daughters and each daughter has one brother. How many people are in the Mustard family?	There are nine Mustards in the family. Since each daughter shares the same brother, there are six girls, one boy and Mr. and Mrs. Mustard.
riddle-1530	Christmas Comes Early Riddle	When does Christmas come before Thanksgiving?	In the dictionary.
riddle-2355	The Keys	What has many keys, but can't even open a single door?	A piano.
riddle-474	Six Faces	What has six faces, but does not wear makeup, has twenty-one eyes, but cannot see? What is it?	A die (dice).
riddle-1806	Kids Riddles M	I make two people out of one. What am I?	A mirror.
riddle-140	Broken Usefulness	What is more useful when it is broken?	An egg.
riddle-315	Killer Wife, Or Not?	A woman shoots her husband. Then she holds him underwater for over 5 minutes. Finally, she hangs him. But 5 minutes later they both go out together and enjoy a wonderful dinner together. How can this be?	The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.
riddle-1749	Down South	Why is Europe like a frying pan?	Because it has Greece at the bottom.
riddle-35	Lucky To Be...	Samuel was out for a walk when it started to rain. He did not have an umbrella and he wasn't wearing a hat. His clothes were soaked, yet not a single hair on his head got wet. How could this happen?	This man is bald!
riddle-3123	TRICKY	Re-arrange the letters, O O U S W T D N E J R, to spell just one word. What is it?	'Just one word'.
riddle-2564	Priceless	I am something people love or hate. I change peoples appearances and thoughts. If a person takes care of them self I will go up even higher. To some people I will fool them. To others I am a mystery. Some people might want to try and hide me but I will show. No matter how hard people try I will Never go down. What am I?	Age.
riddle-1942	Keep Out	What runs around the whole yard without moving?	A fence.
riddle-1795	Kids Riddles B	I am white when I am dirty, and black when I am clean. What am I?	A blackboard.
riddle-2163	Spell Cow	How do you spell COW in thirteen letters?	SEE O DOUBLE YOU.
riddle-2035	Time Passes	"You have me today,"	Memories.
riddle-142	Enough Fish For All IQ Test	Two fathers and two sons went fishing one day. They were there the whole day and only caught 3 fish. One father said, that is enough for all of us, we will have one each. How can this be possible?	There was the father, his son, and his son's son. This equals 2 fathers and 2 sons for a total of 3!
riddle-1007	Only One Color, But Not One Size,	Only one color, but not one size,  Stuck at the bottom, yet easily flies.  Present in sun, but not in rain,  Doing no harm, and feeling no pain.  What is it?	It's a shadow!
riddle-1240	A Pointy Riddle	What can point in every direction but can't reach the destination by itself?	Your finger or a compass.
riddle-70	Quick, No Time!	My life can be measured in hours, I serve by being devoured. Thin, I am quick. Fat, I am slow. Wind is my foe. What am I?	I am a candle.
riddle-6	Shifting Colors	What is black when you buy it, red when you use it, and gray when you throw it away?	Charcoal.
riddle-1925	Heads Up	What can you catch but never throw?	A cold.
riddle-17	Hard To Carry	This is as light as a feather, yet no man can hold it for long. What am I?	Your Breath.
riddle-14	Almost Alive	They have not flesh, nor feathers, nor scales, nor bone. Yet they have fingers and thumbs of their own. What are they?	Gloves.
riddle-1342	The Bus Driver Riddle	"A bus driver was heading down a street in Colorado. He went right past a stop sign without stopping, he turned left where there was a ""no left turn"" sign, and he went the wrong way on a one-way street. Then he went on the left side of the road past a cop car. Still - he didn't break any traffic laws. Why not?"	He was walking...not driving.
riddle-1313	Sunday!!	A man rode out of town on Sunday, he stayed a whole night at a hotel and rode back to town the next day on Sunday. How is this possible?	His Horse was called Sunday!
riddle-817	No Hands	Who is that with a neck and no head, two arms and no hands? What is it?	A shirt.
riddle-323	Wooden Case	I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody. What am I?	Pencil lead.
riddle-1462	Monkey Sitting On A Tree	There are two monkeys on a tree and one jumps off. Why does the other monkey jump too?	Monkey see monkey do.
